,First_Prov_Listing_(inc_QC),NOC_to_CADTH_Submission,CADTH_Duration,CADTH_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_Completion_to_1st_Listing_(incl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),Rare_Disease_(FDA_or_EMA)
300,2021-04-22,-43.0,328.0,65.0,691.0,183.0,,Y
303,2022-03-25,-150.0,184.0,183.0,187.0,23.0,19.0,N
309,2020-04-29,-63.0,182.0,278.0,553.0,14.0,33.0,Y
310,2020-04-22,-58.0,221.0,178.0,597.0,7.0,7.0,N
311,2020-04-24,-180.0,259.0,74.0,246.0,9.0,5.0,N
312,2020-04-29,-110.0,231.0,43.0,215.0,14.0,33.0,Y
313,2020-04-29,-146.0,329.0,19.0,84.0,14.0,33.0,N
315,2020-12-16,-136.0,244.0,39.0,204.0,15.0,75.0,N
316,2021-03-03,-161.0,235.0,50.0,0.0,21.0,151.0,N
317,2021-09-29,-93.0,239.0,15.0,0.0,49.0,125.0,N
318,2021-12-15,-7.0,276.0,17.0,0.0,27.0,412.0,Y
319,2022-04-13,-9.0,208.0,53.0,0.0,61.0,79.0,Y
330,2019-07-04,-136.0,183.0,121.0,252.0,69.0,120.0,N
331,2020-07-31,-165.0,283.0,18.0,22.0,17.0,185.0,N
332,2020-08-01,-165.0,240.0,19.0,64.0,18.0,184.0,N
337,2021-05-26,13.0,244.0,191.0,213.0,-313.0,432.0,N
339,2018-03-09,-74.0,202.0,64.0,189.0,91.0,53.0,Y
340,2018-03-09,-35.0,336.0,-28.0,420.0,91.0,53.0,Y
341,2018-09-27,-45.0,197.0,198.0,257.0,36.0,33.0,N
342,2019-06-01,-41.0,66.0,163.0,141.0,93.0,333.0,N
346,2022-05-01,-169.0,338.0,331.0,98.0,-271.0,,Y
351,2019-12-18,51.0,166.0,65.0,42.0,40.0,78.0,Y
354,2020-12-16,90.0,197.0,138.0,149.0,42.0,47.0,N
358,2019-03-01,-56.0,193.0,486.0,200.0,24.0,60.0,N
359,2019-03-01,-56.0,258.0,421.0,200.0,24.0,60.0,N
361,2019-08-15,-80.0,242.0,328.0,70.0,7.0,,N
362,2021-02-01,-77.0,203.0,105.0,188.0,21.0,30.0,Y
369,2020-08-01,-163.0,367.0,56.0,95.0,215.0,68.0,Y
371,2020-09-30,1169.0,189.0,,,,,Y
372,2022-09-28,-173.0,203.0,378.0,295.0,12.0,,Y
373,2018-09-27,-28.0,181.0,62.0,,,,Y
374,2020-11-01,-18.0,231.0,196.0,125.0,11.0,61.0,Y
376,2021-10-30,32.0,211.0,77.0,194.0,-79.0,165.0,N
378,2021-05-26,217.0,206.0,26.0,108.0,-303.0,303.0,Y
379,2020-04-23,1.0,327.0,113.0,281.0,153.0,182.0,N
380,2019-01-29,-68.0,228.0,157.0,173.0,41.0,30.0,N
381,2021-12-01,-147.0,299.0,280.0,178.0,40.0,55.0,N
382,2018-02-01,374.0,208.0,117.0,100.0,-300.0,390.0,N
385,2018-05-24,-83.0,187.0,133.0,166.0,101.0,7.0,N
389,2018-11-15,369.0,273.0,118.0,196.0,-810.0,834.0,N
392,2019-05-01,226.0,201.0,157.0,271.0,35.0,113.0,N
393,2019-08-19,156.0,103.0,45.0,130.0,42.0,74.0,N
395,2020-09-30,-111.0,237.0,76.0,56.0,49.0,124.0,Y
408,2021-11-01,9.0,139.0,127.0,208.0,42.0,36.0,N
413,2018-02-01,447.0,210.0,-2.0,99.0,-300.0,390.0,N
414,2020-07-31,-532.0,211.0,332.0,51.0,44.0,61.0,N
415,2021-04-14,-177.0,239.0,184.0,118.0,55.0,55.0,N
417,2018-02-01,15.0,181.0,127.0,399.0,69.0,42.0,N
421,2018-08-16,-153.0,215.0,136.0,201.0,50.0,28.0,N
422,2019-04-01,-90.0,189.0,240.0,209.0,47.0,164.0,N
423,2019-04-01,-111.0,182.0,84.0,209.0,47.0,164.0,N
424,2018-07-05,-78.0,182.0,71.0,306.0,29.0,56.0,N
426,2022-04-01,65.0,215.0,142.0,204.0,55.0,28.0,Y
428,2020-11-11,-138.0,164.0,-1.0,126.0,405.0,,N
429,2021-07-01,125.0,225.0,49.0,598.0,52.0,61.0,N
433,2021-02-03,-133.0,181.0,113.0,381.0,65.0,64.0,Y
435,2022-06-30,55.0,233.0,99.0,131.0,23.0,93.0,Y
440,2019-12-01,-42.0,216.0,159.0,360.0,58.0,59.0,Y
442,2019-10-02,-80.0,192.0,111.0,72.0,26.0,91.0,Y
443,2022-09-28,5.0,203.0,153.0,58.0,34.0,34.0,Y
444,2022-09-28,-71.0,198.0,116.0,58.0,34.0,34.0,Y
447,2019-04-01,35.0,365.0,195.0,280.0,12.0,3.0,Y
448,2019-05-01,-71.0,189.0,57.0,82.0,42.0,14.0,N
449,2022-03-29,-44.0,254.0,242.0,78.0,70.0,93.0,N
450,2022-03-02,-211.0,279.0,86.0,81.0,43.0,60.0,Y
456,2018-02-01,259.0,176.0,180.0,100.0,-300.0,1065.0,Y
458,2021-06-25,310.0,216.0,146.0,,,,Y
467,2019-09-01,323.0,173.0,-104.0,176.0,37.0,74.0,N
470,2022-12-14,-128.0,197.0,173.0,153.0,16.0,77.0,N
472,2022-09-01,378.0,195.0,293.0,255.0,27.0,82.0,N
479,2018-01-23,267.0,178.0,371.0,213.0,64.0,,Y
482,2019-10-31,35.0,179.0,31.0,123.0,16.0,14.0,N
486,2022-01-01,82.0,204.0,91.0,133.0,31.0,150.0,Y
492,2018-10-01,-90.0,190.0,37.0,706.0,60.0,242.0,N
494,2020-01-22,36.0,195.0,162.0,384.0,35.0,14.0,Y
497,2019-07-01,-118.0,244.0,100.0,154.0,59.0,304.0,N
498,2018-09-01,56.0,169.0,16.0,161.0,43.0,,Y
502,2018-11-15,357.0,174.0,189.0,500.0,35.0,81.0,N
504,2020-04-29,-90.0,265.0,181.0,204.0,14.0,12.0,Y
506,2018-01-23,165.0,203.0,31.0,235.0,42.0,76.0,Y
508,2022-11-09,62.0,194.0,272.0,225.0,22.0,110.0,Y
509,2022-11-09,-14.0,313.0,90.0,225.0,22.0,110.0,Y
512,2018-08-21,-87.0,168.0,52.0,105.0,25.0,37.0,N
514,2018-01-25,-72.0,234.0,189.0,423.0,94.0,95.0,N
518,2018-12-12,83.0,244.0,338.0,403.0,127.0,,Y
522,2020-09-01,,156.0,97.0,260.0,83.0,667.0,Y
524,2019-03-25,-13.0,292.0,133.0,254.0,101.0,267.0,N
525,2022-09-28,-172.0,215.0,352.0,564.0,51.0,33.0,N
526,2022-09-28,-150.0,228.0,192.0,161.0,51.0,49.0,N
534,2021-08-18,-118.0,385.0,97.0,63.0,43.0,166.0,Y
540,2018-08-16,-39.0,190.0,45.0,153.0,42.0,56.0,Y
550,2022-12-01,,111.0,1261.0,82.0,24.0,62.0,N
552,2019-02-01,-82.0,188.0,107.0,70.0,49.0,88.0,N
557,2020-01-31,-177.0,218.0,30.0,154.0,64.0,5.0,N
560,2019-12-20,-49.0,220.0,113.0,219.0,29.0,,N
568,2018-11-20,-1.0,177.0,38.0,240.0,55.0,28.0,Y
569,2018-12-18,390.0,218.0,57.0,62.0,-190.0,176.0,Y
575,2018-08-01,-91.0,190.0,325.0,413.0,-240.0,,N
577,2019-04-11,24.0,188.0,145.0,178.0,35.0,145.0,Y
585,2020-04-29,29.0,181.0,20.0,274.0,21.0,33.0,N
589,2018-09-27,-91.0,179.0,686.0,0.0,16.0,34.0,N
593,2019-10-02,0.0,224.0,39.0,80.0,33.0,97.0,Y
595,2018-10-01,-95.0,398.0,148.0,304.0,63.0,2.0,Y
596,2019-12-18,-55.0,233.0,69.0,250.0,29.0,23.0,Y
597,2022-11-09,65.0,292.0,126.0,144.0,33.0,52.0,Y
598,2021-01-27,252.0,174.0,94.0,252.0,89.0,36.0,Y
599,2018-03-01,-63.0,216.0,192.0,238.0,62.0,28.0,N
601,2018-12-13,-37.0,182.0,43.0,36.0,35.0,81.0,N
615,2022-12-14,-172.0,249.0,90.0,353.0,34.0,,Y
617,2019-02-01,-112.0,187.0,30.0,132.0,64.0,273.0,N
621,2022-04-13,900.0,220.0,,,,352.0,Y
623,2021-11-01,-78.0,180.0,129.0,202.0,18.0,150.0,Y
626,2020-07-08,142.0,299.0,-19.0,153.0,69.0,205.0,Y
