,Listing_AB_Date,Listing_BC_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,Oncology,NAS,Rare_Disease_(FDA_or_EMA)
601,2019-03-01,2019-05-27,2019-01-01,2019-05-31,2019-03-04,2019-02-27,2019-02-01,2019-02-25,2019-01-16,2018-12-13,200.0,113.0,54.0,204.0,116.0,111.0,85.0,109.0,69.0,35.0,N,N,N
615,,,,,,,,,,2022-12-14,,,,,,,,,,34.0,Y,Y,Y
617,2019-10-07,2019-11-01,2019-02-11,2019-02-13,2019-12-06,2019-10-30,,,,2019-02-01,337.0,312.0,74.0,76.0,372.0,335.0,,,,64.0,Y,Y,N
621,2022-09-30,,2023-03-01,2023-01-12,2023-03-31,,,,,2022-04-13,,,,,,,,,,,Y,N,Y
623,2022-01-31,2022-04-01,2021-11-01,2021-11-24,2022-03-31,,,,,2021-12-15,169.0,109.0,18.0,41.0,168.0,,,,,62.0,Y,N,Y
626,,2021-12-01,2020-10-01,2021-01-21,2021-01-29,2020-08-20,2022-06-27,,,2020-07-08,580.0,,154.0,266.0,274.0,112.0,788.0,,,69.0,N,Y,Y
633,2013-07-18,2017-01-01,2013-04-03,2014-01-21,2013-05-21,2014-02-01,2013-07-10,2018-08-01,2013-01-02,2013-06-03,1066.0,-197.0,-303.0,-10.0,-255.0,1.0,-205.0,1643.0,-394.0,-242.0,Y,Y,Y
634,2015-10-01,2017-01-01,2015-04-01,2015-12-01,,,2017-04-01,,,,,,,,,,,,,,Y,N,Y
636,2020-02-01,2020-07-07,2019-11-01,2020-03-02,2019-09-30,2019-10-01,2019-12-01,2019-11-25,2020-01-03,2019-11-14,302.0,145.0,53.0,175.0,21.0,22.0,83.0,77.0,116.0,66.0,N,N,N
639,2018-12-01,,2018-10-01,2018-10-18,2018-09-27,2018-11-30,2019-05-01,2018-11-26,2019-01-31,2018-09-27,,128.0,67.0,84.0,63.0,127.0,279.0,123.0,189.0,63.0,N,Y,N
640,2021-09-24,2021-10-05,2021-10-01,2021-10-22,2021-09-22,2021-10-14,2021-11-18,2021-11-01,2021-11-19,2021-09-29,18.0,7.0,14.0,35.0,5.0,27.0,62.0,45.0,63.0,12.0,N,Y,Y
641,2022-08-01,2022-09-13,2022-08-01,2022-08-17,2022-07-08,2022-07-25,2022-07-18,2022-08-08,2022-08-08,2022-08-04,68.0,25.0,25.0,41.0,1.0,18.0,11.0,32.0,32.0,28.0,N,Y,Y
642,,2021-07-06,2021-02-01,2021-04-01,2021-01-29,2021-04-22,2021-11-30,2021-12-20,2021-04-20,2021-02-03,215.0,,60.0,119.0,57.0,140.0,362.0,382.0,138.0,62.0,N,Y,N
647,,,,,,,,,,2016-06-01,,,,,,,,,,-1213.0,N,Y,N
648,,,2018-01-01,2018-04-19,2007-09-04,2009-06-29,2018-07-23,2009-03-01,2018-09-12,2006-10-01,,,,,,,,,,,N,N,N
649,2020-06-01,2020-08-20,2021-01-01,2020-07-16,2020-03-31,2020-09-17,,,,2020-12-16,190.0,110.0,324.0,155.0,48.0,218.0,,,,308.0,Y,Y,Y
651,2022-09-30,2022-12-01,2023-02-01,2023-01-24,2023-02-28,2023-03-27,2023-04-01,,,2022-11-09,78.0,16.0,140.0,132.0,167.0,194.0,199.0,,,56.0,Y,Y,N
657,,2019-11-01,2020-03-01,2020-02-11,2020-01-29,,,,,2020-03-04,63.0,,184.0,165.0,152.0,,,,,187.0,Y,Y,Y
659,2018-06-12,2018-10-30,2018-04-01,2018-04-19,2018-04-18,2018-09-06,2018-10-29,2018-12-24,2018-03-28,2018-03-01,322.0,182.0,110.0,128.0,127.0,268.0,321.0,377.0,106.0,79.0,N,Y,Y
662,,,2022-08-01,2022-09-20,2022-07-21,2022-06-20,,,,2021-05-26,,,98.0,148.0,87.0,56.0,,,,-334.0,N,Y,N
663,2022-09-30,2017-11-01,2017-08-02,2017-11-01,2017-09-01,2017-12-20,2018-02-01,2018-08-01,2017-08-03,2017-07-19,163.0,1957.0,72.0,163.0,102.0,212.0,255.0,436.0,73.0,58.0,Y,N,N
666,,,2020-11-01,2020-07-16,2020-02-26,2020-06-18,2020-10-07,,2020-09-14,2019-10-02,,,411.0,303.0,162.0,275.0,386.0,,363.0,15.0,N,Y,N
670,2019-07-26,2019-09-01,2019-09-03,2019-08-22,2019-05-13,2019-10-24,2019-10-03,2021-05-10,2019-09-10,,179.0,142.0,181.0,169.0,68.0,232.0,211.0,796.0,188.0,,Y,Y,Y
671,2022-01-31,2022-02-01,2022-02-01,2022-02-24,2022-05-31,2022-04-29,2022-06-10,2022-12-12,2022-10-31,2021-11-10,111.0,110.0,111.0,134.0,230.0,198.0,240.0,425.0,383.0,28.0,Y,N,Y
672,2022-02-28,2022-05-01,2022-02-01,2022-02-24,2022-08-31,2022-04-29,2022-06-10,2022-12-12,2022-10-31,2022-02-02,146.0,84.0,57.0,80.0,268.0,144.0,186.0,371.0,329.0,58.0,Y,N,Y
674,2020-04-10,2020-01-01,2020-03-01,2020-04-02,2020-03-31,2020-07-16,2020-07-01,2021-05-10,2020-09-02,2019-12-18,65.0,165.0,125.0,157.0,155.0,262.0,247.0,560.0,310.0,51.0,Y,N,Y
675,,,2021-11-01,,2021-03-03,2021-06-17,2022-06-27,2023-01-23,,2021-03-03,,,346.0,,103.0,209.0,584.0,794.0,,103.0,N,N,Y
684,,,,,2019-05-13,,,,,,,,,,165.0,,,,,,N,Y,Y
686,,,2022-12-01,2023-04-01,2023-02-24,,,,,2022-12-14,,,24.0,145.0,109.0,,,,,37.0,Y,Y,Y
689,2018-05-01,2018-03-13,2018-04-01,2018-07-19,2018-02-28,2018-05-08,2018-10-01,,2018-09-20,2018-03-01,27.0,76.0,46.0,155.0,14.0,83.0,229.0,,218.0,15.0,N,Y,N
694,2021-05-01,,2021-06-01,2021-08-05,2021-05-12,2021-05-13,2022-09-01,2021-11-22,2021-08-20,2021-03-03,,86.0,117.0,182.0,97.0,98.0,574.0,291.0,197.0,27.0,N,Y,N
695,,,2022-12-01,2023-01-24,2022-09-15,,2022-11-01,,2023-01-05,,,,85.0,139.0,8.0,,55.0,,120.0,,N,Y,N
696,2022-09-30,2022-10-01,2022-08-01,2022-07-14,2022-10-31,,,,,2022-05-26,157.0,156.0,96.0,78.0,187.0,,,,,29.0,Y,Y,Y
697,2020-03-01,2020-10-30,2020-02-01,2020-03-02,2019-12-20,2020-04-23,2020-07-31,2020-12-28,2020-06-15,,345.0,102.0,73.0,103.0,30.0,155.0,254.0,404.0,208.0,,N,Y,N
699,2022-10-01,2022-10-25,2022-11-01,2023-01-24,2022-08-11,,2022-11-01,,,2022-12-14,75.0,51.0,82.0,166.0,0.0,,82.0,,,125.0,N,N,N
703,2015-12-18,2015-12-01,2015-12-28,2016-01-18,2015-12-04,2016-04-12,2016-05-02,2018-08-01,2016-02-01,2014-07-16,54.0,71.0,81.0,102.0,57.0,187.0,207.0,1028.0,116.0,-449.0,Y,Y,Y
704,2020-07-30,2020-07-01,2020-08-01,2021-01-21,2021-03-31,2020-07-16,2021-01-31,2023-01-23,2020-05-01,2020-04-29,103.0,132.0,134.0,307.0,376.0,118.0,317.0,1039.0,42.0,40.0,Y,N,Y
706,2020-06-01,2020-04-01,2020-03-01,2020-03-02,2019-12-20,2020-06-18,2020-12-14,2021-11-22,2020-09-01,2019-12-18,138.0,199.0,107.0,108.0,35.0,216.0,395.0,738.0,291.0,33.0,N,N,N
712,2016-08-01,2017-01-31,2016-05-01,2016-07-21,2016-12-22,2016-08-24,2016-12-01,2018-12-24,2017-04-01,2015-06-01,280.0,97.0,5.0,86.0,240.0,120.0,219.0,972.0,340.0,-330.0,N,Y,N
713,,2020-11-17,2020-10-01,2020-10-22,2020-09-30,2020-10-22,2021-01-01,2022-03-28,2021-12-29,2020-09-30,116.0,,69.0,90.0,68.0,90.0,161.0,612.0,523.0,68.0,N,N,N
718,2017-10-01,,2017-07-01,2017-10-19,2017-07-31,2017-10-24,2017-08-01,2018-03-26,2017-09-01,2017-11-15,,110.0,18.0,128.0,48.0,133.0,49.0,286.0,80.0,155.0,N,N,N
719,2018-04-01,,2017-01-01,2017-04-20,2017-04-27,2017-06-28,2016-12-01,2021-03-15,2017-07-19,2017-06-01,,489.0,34.0,143.0,150.0,212.0,3.0,1568.0,233.0,185.0,N,N,N
720,2021-05-31,2021-09-01,2021-08-01,2021-08-05,2021-12-31,2021-09-16,2021-10-31,2022-12-12,2021-12-01,2021-05-27,170.0,77.0,139.0,143.0,291.0,185.0,230.0,637.0,261.0,73.0,Y,N,Y
723,2015-12-18,2015-10-01,2015-07-29,2016-01-18,2015-08-31,2015-10-14,2015-11-02,2016-02-22,2015-10-01,2016-03-24,71.0,149.0,7.0,180.0,40.0,84.0,103.0,215.0,71.0,246.0,Y,N,N
724,2020-07-30,2020-10-01,2020-06-01,2020-07-16,2020-06-01,2020-11-26,2020-12-01,2022-12-12,2021-12-01,2020-04-29,218.0,155.0,96.0,141.0,96.0,274.0,279.0,1020.0,644.0,63.0,Y,N,N
725,2021-11-30,2021-12-01,2021-11-01,2021-11-25,2021-12-31,2022-01-20,2022-02-28,2022-12-28,2021-12-01,2021-09-29,124.0,123.0,94.0,118.0,154.0,174.0,213.0,516.0,124.0,61.0,Y,N,N
729,2015-03-30,2015-07-01,2015-05-01,2015-03-05,2015-04-01,2015-07-15,2015-04-01,2016-06-30,,2016-03-24,121.0,28.0,60.0,3.0,30.0,135.0,30.0,486.0,,388.0,Y,N,Y
732,2016-09-01,2018-02-06,2016-05-01,2016-07-21,2016-06-29,2016-07-07,2016-06-01,2018-08-01,2016-04-01,2015-02-02,706.0,183.0,60.0,141.0,119.0,127.0,91.0,882.0,30.0,-394.0,N,Y,N
733,2021-11-30,2021-12-01,2021-12-01,2021-11-25,2022-02-28,2022-02-17,2022-04-29,2022-12-12,2022-01-14,2021-09-29,112.0,111.0,112.0,106.0,201.0,190.0,261.0,488.0,156.0,49.0,Y,Y,Y
734,2021-11-30,2021-12-01,2021-12-01,2021-11-25,2022-02-28,2022-02-17,2022-04-30,2022-12-12,2022-01-14,2021-09-29,112.0,111.0,112.0,106.0,201.0,190.0,262.0,488.0,156.0,49.0,Y,N,Y
737,2017-04-01,2017-03-21,2017-04-01,2017-04-20,2017-02-28,2017-04-13,2017-05-01,,2017-08-01,2017-03-15,32.0,43.0,43.0,62.0,11.0,55.0,73.0,,165.0,26.0,N,Y,N
742,,,,,,,,,,2019-11-14,,,,,,,,,,78.0,Y,Y,N
743,,2021-11-19,,2022-06-01,2021-10-29,2022-07-25,2022-10-01,,,2021-10-20,42.0,,,236.0,21.0,290.0,358.0,,,12.0,N,Y,Y
745,2016-10-18,2017-08-01,2016-08-08,2016-10-20,2016-10-19,2016-12-21,2017-05-01,,2017-01-01,2016-11-15,424.0,137.0,66.0,139.0,138.0,201.0,332.0,,212.0,165.0,Y,Y,Y
747,,,,,,,,,,2018-07-05,,,,,,,,,,,Y,Y,Y
748,2018-10-30,2018-09-01,2018-08-15,2018-07-19,2018-10-11,2018-11-30,2019-10-03,2022-09-26,,2018-07-05,165.0,224.0,148.0,121.0,205.0,255.0,562.0,1651.0,,107.0,Y,Y,Y
751,2021-11-30,2021-09-01,2021-11-01,,,,,,,,,,,,,,,,,,Y,N,N
752,2021-11-30,2021-09-01,,,,,,,,,,,,,,,,,,,Y,N,N
