,Listing_AB_Date,Listing_BC_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,Oncology,NAS,Rare_Disease_(FDA_or_EMA)
389,2021-05-01,2021-10-06,,2022-06-01,2021-02-26,2021-04-22,2022-03-21,,2021-12-29,2018-11-15,246.0,88.0,,484.0,24.0,79.0,412.0,,330.0,-810.0,N,Y,N
392,2019-06-01,2019-11-26,2019-05-01,2019-08-22,2019-08-22,2019-08-26,2019-05-01,,2021-01-20,2019-05-23,244.0,66.0,35.0,148.0,148.0,152.0,35.0,,665.0,57.0,N,N,N
393,,2019-11-01,2020-01-27,,2019-08-19,,,2019-10-01,,2019-11-14,116.0,,203.0,,42.0,,,85.0,,129.0,Y,Y,N
395,2022-10-31,2021-02-01,2021-01-01,2022-09-13,2021-11-30,,,,,2020-09-30,173.0,810.0,142.0,762.0,475.0,,,,,49.0,Y,Y,Y
396,2015-09-01,,2015-07-01,2015-07-22,2015-05-28,2015-10-14,2015-06-29,2018-03-26,2015-10-01,2014-02-03,,146.0,84.0,105.0,50.0,189.0,82.0,1083.0,176.0,-429.0,N,Y,N
405,2017-10-01,2018-11-13,2017-10-01,2017-10-19,2017-09-28,2017-10-24,2017-11-01,2017-11-27,2017-12-01,2017-10-18,508.0,100.0,100.0,118.0,97.0,123.0,131.0,157.0,161.0,117.0,N,Y,N
408,2021-11-01,2021-12-07,2021-11-01,2022-02-24,2021-12-17,2021-11-18,2021-12-11,2021-11-22,2021-12-01,2021-11-10,78.0,42.0,42.0,157.0,88.0,59.0,82.0,63.0,72.0,51.0,N,N,N
413,2019-02-01,2019-02-26,,,,,2019-08-01,,,2018-02-01,90.0,65.0,,,,,246.0,,,-300.0,N,Y,N
414,2020-12-01,2022-03-22,2020-09-01,2020-10-22,2020-07-31,2020-11-26,,2021-10-25,2021-06-09,2020-09-30,643.0,167.0,76.0,127.0,44.0,162.0,,495.0,357.0,105.0,N,N,N
415,2021-05-31,2021-08-01,2021-08-01,2021-08-05,2021-06-08,2021-08-19,2021-05-30,2023-01-23,2021-08-11,2021-04-14,164.0,102.0,164.0,168.0,110.0,182.0,101.0,704.0,174.0,55.0,Y,Y,N
417,2018-05-01,2018-11-13,2018-07-01,2018-04-19,2018-03-15,2018-02-12,2019-02-01,2021-03-15,2018-10-01,2018-02-01,354.0,158.0,219.0,146.0,111.0,80.0,434.0,1207.0,311.0,69.0,N,Y,N
419,2019-08-01,2019-10-29,2019-10-01,2020-03-02,2019-07-23,2019-07-04,2019-09-01,2021-03-15,2020-12-21,2019-07-04,,,,,,,,,,,N,Y,N
421,2019-01-01,2018-10-30,2018-10-01,2018-10-18,2018-09-13,2018-12-17,2019-02-01,2021-12-20,2019-08-16,2018-08-16,125.0,188.0,96.0,113.0,78.0,173.0,219.0,1272.0,415.0,50.0,N,Y,N
422,2019-04-01,,2019-05-01,2019-08-22,2019-09-12,2019-11-07,2020-04-22,2022-12-28,2019-10-10,2019-04-11,,47.0,77.0,190.0,211.0,267.0,434.0,1414.0,239.0,57.0,N,Y,N
423,2019-04-01,2020-08-20,2019-05-01,2019-08-22,2019-09-12,2019-11-07,2020-04-22,2022-12-28,2019-10-10,2019-04-11,554.0,47.0,77.0,190.0,211.0,267.0,434.0,1414.0,239.0,57.0,N,N,N
424,,,2018-08-01,2018-10-18,2018-08-30,2018-11-30,,2019-11-25,2018-12-01,2018-07-05,,,56.0,134.0,85.0,177.0,,537.0,178.0,29.0,N,N,N
426,2022-04-01,2022-06-07,2022-06-01,2022-06-01,2022-04-29,2022-04-29,2022-05-16,2022-07-01,2022-04-22,2022-04-13,122.0,55.0,116.0,116.0,83.0,83.0,100.0,146.0,76.0,67.0,N,N,Y
427,2016-11-01,2018-02-06,2016-10-01,2017-01-25,2016-09-16,2016-11-30,2016-12-01,2017-04-24,2017-02-01,2017-03-15,526.0,64.0,33.0,149.0,18.0,93.0,94.0,238.0,156.0,198.0,N,Y,Y
428,,,,,,,,,,2020-11-11,,,,,,,,,,405.0,Y,Y,N
429,2021-07-01,,2021-07-01,2021-08-05,2021-08-31,2021-08-19,,2022-02-28,,2021-08-18,,52.0,52.0,87.0,113.0,101.0,,294.0,,100.0,N,Y,N
433,2021-03-01,2022-01-01,2021-03-01,2021-04-01,2021-04-08,2021-02-24,2021-05-01,,2021-10-27,2021-02-03,397.0,91.0,91.0,122.0,129.0,86.0,152.0,,331.0,65.0,N,Y,Y
435,2022-06-30,2022-10-01,2022-09-01,2022-09-20,2022-12-31,2022-12-19,2023-02-01,,2023-02-08,2022-07-06,116.0,23.0,86.0,105.0,207.0,195.0,239.0,,246.0,29.0,Y,Y,Y
436,2017-04-03,2017-03-01,2017-03-23,2017-03-13,2017-03-21,2017-05-02,2017-04-01,2018-08-01,2017-08-03,2017-03-15,40.0,73.0,62.0,52.0,60.0,102.0,71.0,558.0,195.0,54.0,Y,Y,Y
437,2017-04-03,2017-03-01,2017-03-23,2017-03-13,2017-03-21,2017-05-02,2017-04-01,2018-08-01,2017-08-03,2017-03-15,40.0,73.0,62.0,52.0,60.0,102.0,71.0,558.0,195.0,54.0,Y,N,N
438,2017-04-03,2017-03-01,2017-03-23,2017-03-13,2017-03-21,2017-05-02,2017-04-01,2018-08-01,2017-08-03,2017-03-15,40.0,73.0,62.0,52.0,60.0,102.0,71.0,558.0,195.0,54.0,Y,N,N
